RecordID,Name,Country,OrbitType,ObjectType,LaunchYear,LaunchSite,Longitude,AvgLongitude,GeoHash,DaysOld,StillInOrbit,RiskLevel
10096,SL-14 R/B,CIS,LEO,Rocket Body,1977,PKMTR,-70.95,-45.06,"62.925556,40.577778",17390,false,Moderate
10436,COSMOS 839 DEB,CIS,LEO,Debris,1976,PKMTR,29.40,-32.93,"62.925556,40.577778",17741,false,High
11888,SL-6 R/B(2),CIS,HEO,Rocket Body,1980,PKMTR,126.92,-19.62,"62.925556,40.577778",16286,false,High
12529,DELTA 1 DEB,US,LEO,Debris,1976,AFWTR,-49.98,63.25,"34.742221,-120.57243",17720,false,High
13610,SL-12 R/B(2),CIS,MEO,Rocket Body,1982,TTMTR,85.42,128.26,"45.965,63.305",15454,false,Moderate
18634,SL-12 R/B(2),CIS,GEO,Rocket Body,1987,TTMTR,-84.03,-45.41,"45.965,63.305",13569,true,Moderate
21249,SL-8 DEB,CIS,LEO,Debris,1991,PKMTR,-162.53,-98.07,"62.925556,40.577778",12409,false,High
23097,USA 103,US,Unknown Orbit Category,Payload,1994,AFETR,0.00,0.00,"28.4917337,-80.5825555",11233,false,Low
26005,SL-14 DEB,CIS,LEO,Debris,1991,PKMTR,9.34,22.61,"62.925556,40.577778",12181,false,Moderate
28158,USA 176,US,GEO,Payload,2004,AFETR,87.92,87.19,"28.4917337,-80.5825555",7659,true,Low
28473,ATLAS 5 CENTAUR R/B,US,HEO,Rocket Body,2004,AFETR,58.82,165.88,"28.4917337,-80.5825555",7352,true,High
29210,SCOUT G-1 DEB,US,LEO,Debris,1987,AFWTR,0.00,0.00,"34.742221,-120.57243",13654,false,Low
29539,CZ-4B DEB,PRC,LEO,Debris,2006,TSC,26.25,127.11,"38.849086,111.608497",6857,false,High
31518,FENGYUN 1C DEB,PRC,LEO,Debris,1999,TSC,0.00,0.00,"38.849086,111.608497",9400,false,Low
32558,DELTA 4H DEB,US,Unknown Orbit Category,Debris,2007,AFETR,0.00,0.00,"28.4917337,-80.5825555",6293,false,Low
35350,PSLV DEB,IND,LEO,Debris,2001,SRI,-19.90,94.22,"13.7178,80.2",8504,false,High
35670,COSMOS 2251 DEB,CIS,LEO,Debris,1993,PKMTR,40.00,50.95,"62.925556,40.577778",11554,false,Moderate
39350,CZ-3C DEB,PRC,HEO,Debris,2010,XSC,-133.58,-101.91,"28.246017,102.026556",5208,false,Moderate
39645,COSMOS 1867 COOLANT,CIS,LEO,Debris,1987,TTMTR,142.55,26.19,"45.965,63.305",13722,false,High
46525,FREGAT DEB,CIS,LEO,Debris,2011,TTMTR,0.00,0.00,"45.965,63.305",4948,false,Low
